WASH,TREATMENT,ROSETTES
START,BW,0
START,BW,1
START,BW,0
START,BW,4
START,BW,3
START,BW,1
START,BW,1
START,BW,2
START,BW,1
START,BW,1
START,BW,1
START,BW,3
START,BW,1
START,BW,2
START,BW,2
START,BW,4
START,BW,2
START,BW,6
START,BW,2
START,BW,2
START,BW,1
START,BW,1
START,BW,1
START,BW,1
START,BW,1
START,SF,1
START,SF,2
START,SF,3
START,SF,4
START,SF,1
START,SF,0
START,SF,1
START,SF,2
START,SF,2
START,SF,3
START,SF,3
START,SF,2
START,SF,2
START,SF,2
START,SF,1
START,SF,3
START,SF,2
START,SF,2
START,SF,2
START,SF,0
START,SF,1
START,SF,1
START,SF,2
START,SF,3
START,SF,2
1,BW,1
1,BW,2
1,BW,1
1,BW,4
1,BW,4
1,BW,1
1,BW,0
1,BW,0
1,BW,2
1,BW,3
1,BW,5
1,BW,1
1,BW,1
1,BW,0
1,BW,2
1,BW,2
1,BW,2
1,BW,2
1,BW,4
1,BW,2
1,BW,3
1,BW,2
1,BW,1
1,BW,3
1,BW,2
1,SF,0
1,SF,4
1,SF,1
1,SF,2
1,SF,1
1,SF,2
1,SF,0
1,SF,0
1,SF,1
1,SF,1
1,SF,1
1,SF,3
1,SF,3
1,SF,0
1,SF,0
1,SF,2
1,SF,1
1,SF,0
1,SF,1
1,SF,1
1,SF,2
1,SF,2
1,SF,0
1,SF,1
1,SF,0
2,BW,4
2,BW,1
2,BW,3
2,BW,1
2,BW,2
2,BW,1
2,BW,3
2,BW,4
2,BW,2
2,BW,2
2,BW,0
2,BW,2
2,BW,1
2,BW,7
2,BW,1
2,BW,1
2,BW,2
2,BW,2
2,BW,1
2,BW,1
2,BW,2
2,BW,5
2,BW,7
2,BW,5
2,BW,2
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,1
2,SF,1
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
2,SF,0
3,BW,4
3,BW,3
3,BW,7
3,BW,1
3,BW,1
3,BW,3
3,BW,2
3,BW,0
3,BW,1
3,BW,1
3,BW,10
3,BW,2
3,BW,2
3,BW,2
3,BW,2
3,BW,4
3,BW,3
3,BW,2
3,BW,2
3,BW,1
3,BW,1
3,BW,1
3,BW,2
3,BW,2
3,BW,1
3,SF,2
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,1
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,2
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
3,SF,0
4,BW,2
4,BW,3
4,BW,3
4,BW,1
4,BW,0
4,BW,1
4,BW,1
4,BW,4
4,BW,8
4,BW,2
4,BW,1
4,BW,2
4,BW,2
4,BW,2
4,BW,2
4,BW,0
4,BW,0
4,BW,1
4,BW,2
4,BW,1
4,BW,0
4,BW,11
4,BW,3
4,BW,3
4,BW,1
4,SF,0
4,SF,0
4,SF,1
4,SF,0
4,SF,0
4,SF,0
4,SF,1
4,SF,0
4,SF,1
4,SF,2
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
4,SF,0
